refdes	dni	device	footprint	value	
U501	unknown	SG-310SCF 26M	tcxo3225	unknown	
S504	unknown	SPST	custom_button3	unknown	
S503	unknown	SPST	custom_button3	unknown	
S502	unknown	SPST	custom_button3	unknown	
S501	unknown	SPST	custom_button3	unknown	
CONN505	unknown	oled_0.91	oled_0.91	unknown	
C518	unknown	CAPACITOR	0402	100n	
C514	unknown	CAPACITOR	0402	10n	
R502	unknown	RESISTOR	0402	10k	
R503	unknown	THERMISTOR	0603	thermistor-10k	
G501	unknown	terminal	pad_15x15	unknown	
U502	unknown	qn8007	QFN24_4_EP_QN8007	unknown	
C513	unknown	CAPACITOR	0402	100n	
CONN504	unknown	BNC	ufl	unknown	
B501	unknown	SPDT	custom_bead	unknown	
R504	unknown	RESISTOR	0402	10k	
C520	unknown	CAPACITOR	0402	47p	
Q504	unknown	NPN_TRANSISTOR	2sc3357	unknown	
C512	unknown	CAPACITOR	0402	150p	
R508	unknown	RESISTOR	0603	4.7	
L511	unknown	INDUCTOR	0603	47n	
C507	unknown	CAPACITOR	0603	10u	
C510	unknown	CAPACITOR	0603	10u	
R501	unknown	RESISTOR	0402	100	
C505	unknown	CAPACITOR	0603	10u	
C506	unknown	CAPACITOR	0402	1n	
C511	unknown	CAPACITOR	0603	10u	
C509	unknown	CAPACITOR	0402	1n	
L502	unknown	INDUCTOR	0603	68n	
C523	unknown	CAPACITOR	0603	100n	
C522	unknown	CAPACITOR	0603	330p	
C521	unknown	CAPACITOR	0402	100p	
L512	unknown	INDUCTOR	1812sms	82n	
C504	unknown	CAPACITOR	0603	100p	
C503	unknown	CAPACITOR	0603	12p	
C501	unknown	CAPACITOR	0603	56p	
L501	unknown	INDUCTOR	inductor_291a	12.5n	
C502	unknown	CAPACITOR	0603	2p	
L513	unknown	INDUCTOR	inductor_291a	8n	
LED502	unknown	LED	0603	green	
C531	unknown	CAPACITOR	0402	100n	
R513	unknown	VARIABLE_RESISTOR	custom_pot_3362	unknown	
LED501	unknown	LED	0603	red	
C530	unknown	CAPACITOR	0402	100n	
D501	unknown	DIODE	bat17	unknown	
R512	unknown	RESISTOR	0603	4.7k	
CONN503	unknown	BNC	custom_sma5	unknown	
R509	unknown	RESISTOR	0402	1k	
C527	unknown	CAPACITOR	0603	100n	
C526	unknown	CAPACITOR	0603	68p	
C525	unknown	CAPACITOR	0603	150p	
C524	unknown	CAPACITOR	0603	33p	
L515	unknown	INDUCTOR	1812sms	56n	
L514	unknown	INDUCTOR	inductor_291a	18.5n	
CONN501	unknown	CONNECTOR_2	HEADER2_1	unknown	
CONN502	unknown	CONNECTOR_5	custom_microusb1	unknown	
J501	unknown	HEADER3	header3	unknown	
C517	unknown	CAPACITOR	0805	10u	
U506	unknown	xc6206	SOT23	unknown	
U505	unknown	dfplayer_mini	dfplayer	unknown	
R505	unknown	RESISTOR	0402	1k	
Q501	unknown	NMOS_TRANSISTOR	custom_rqa0009	rqa0009	
U504	unknown	stm32f030f4p6	TSSOP20	unknown	
